"MovieTitle","MovieID","MovieURL","ReleaseYear","MovieRating","MovieNumUserRatings","DurationMins","ReleaseDate","Genre1","Genre2","Genre3","NumIMDBUserReviews","NumIMDBCriticReviews","DirectorName","DirectorID","DirectorURL","Star1Name","Star1ID","Star1URL","Star2Name","Star2ID","Star2URL","Star3Name","Star3ID","Star3URL","BoxOfficeBudget","BoxOfficeBudgetCurr","BoxOfficeOpeningWeekend","BoxOfficeOpeningWeekendCurr","BoxOfficeGross","BoxOfficeGrossCurr"
"Bridesmaids","tt1478338","http://www.imdb.com/title/tt1478338/",2011,6.8,205677,"125"," 13 May 2011
(USA)
","Comedy","Romance","","205677","367","Paul Feig","nm0082450","http://www.imdb.com/name/nm0082450/","Kristen Wiig","nm1325419","http://www.imdb.com/name/nm1325419/","Maya Rudolph","nm0748973","http://www.imdb.com/name/nm0748973/","Rose Byrne","nm0126284","http://www.imdb.com/name/nm0126284/","32500000","USD","26247410","USD","169076745","USD"
"Everything Must Go","tt1531663","http://www.imdb.com/title/tt1531663/",2010,6.4,38058,"97"," 14 October 2011
(UK)
","Comedy","Drama","","38058","150","Dan Rush","nm3656297","http://www.imdb.com/name/nm3656297/","Will Ferrell","nm0002071","http://www.imdb.com/name/nm0002071/","Rebecca Hall","nm0356017","http://www.imdb.com/name/nm0356017/","Christopher Jordan Wallace","nm3246926","http://www.imdb.com/name/nm3246926/","
    Opening Weekend:         $791,677        

      (USA)
      (13 May 2011)
    ","NA","
    Gross:        $2,711,210        

      (USA)
      (9 September 2011)
    ","NA","
    See more »
  ","NA"
"Sniper: Reloaded","tt1571243","http://www.imdb.com/title/tt1571243/",2011,5.3,5913,"91"," 26 April 2011
(USA)
","Action","Drama","Thriller","5913","John Fasano","Ross Helford","nm1062366","http://www.imdb.com/name/nm1062366/",NA,"http://www.imdb.comNA","http://www.imdb.comNA","","http://www.imdb.comNA","http://www.imdb.comNA","","http://www.imdb.comNA","http://www.imdb.comNA"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ","NA","","NA","Technical Specs","NA"
"The Suspicions of Mr Whicher: The Murder at Road Hill House","tt1724572","http://www.imdb.com/title/tt1724572/",2011,6.5,1000,"95"," 25 April 2011
(UK)
","Crime","Drama","Mystery","1000","Kate Summerscale","Neil McKay","nm4431460","http://www.imdb.com/name/nm4431460/",NA,"http://www.imdb.comNA","http://www.imdb.comNA","","http://www.imdb.comNA","http://www.imdb.comNA","","http://www.imdb.comNA","http://www.imdb.comNA"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ","NA","","NA","Technical Specs","NA"
"Detachment","tt1683526","http://www.imdb.com/title/tt1683526/",2011,7.7,52657,"98"," 1 February 2012
(France)
","Drama","","","52657","138","Tony Kaye","http://www.imdb.comNA","http://www.imdb.comNA","Adrien Brody","nm0004778","http://www.imdb.com/name/nm0004778/","Christina Hendricks","nm0376716","http://www.imdb.com/name/nm0376716/","Marcia Gay Harden","nm0001315","http://www.imdb.com/name/nm0001315/","
    Opening Weekend:         $10,739        

      (USA)
      (16 March 2012)
    ","NA","
    Gross:        $71,177        

      (USA)
      (27 April 2012)
    ","NA","
    See more »
  ","NA"
