"MovieTitle","MovieID","MovieURL","ReleaseYear","MovieRating","MovieNumUserRatings"
"Terminator Genisys","tt1340138","http://www.imdb.com/title/tt1340138/",2015,6.7,137980
"Magic Mike XXL","tt2268016","http://www.imdb.com/title/tt2268016/",2015,5.8,26044
"Ant-Man","tt0478970","http://www.imdb.com/title/tt0478970/",2015,7.6,149352
"Ted 2","tt2637276","http://www.imdb.com/title/tt2637276/",2015,6.5,66994
"Dark Places","tt2402101","http://www.imdb.com/title/tt2402101/",2015,6.3,17780
"Stealing Cars","tt3353060","http://www.imdb.com/title/tt3353060/",2015,7.7,18
"Insidious: Chapter 3","tt3195644","http://www.imdb.com/title/tt3195644/",2015,6.2,38809
"San Andreas","tt2126355","http://www.imdb.com/title/tt2126355/",2015,6.2,103208
"Entourage","tt1674771","http://www.imdb.com/title/tt1674771/",2015,6.8,43517
"Aloha","tt1243974","http://www.imdb.com/title/tt1243974/",2015,5.5,25363
"Grace of Monaco","tt2095649","http://www.imdb.com/title/tt2095649/",2014,5.6,10795
"Poltergeist","tt1029360","http://www.imdb.com/title/tt1029360/",2015,5,32314
"The Sea of Trees","tt3450900","http://www.imdb.com/title/tt3450900/",2015,5.4,369
"Tomorrowland","tt1964418","http://www.imdb.com/title/tt1964418/",2015,6.5,89128
"Hot Pursuit","tt2967224","http://www.imdb.com/title/tt2967224/",2015,5,25559
"Mad Max: Fury Road","tt1392190","http://www.imdb.com/title/tt1392190/",2015,8.2,375258
"Mr. Holmes","tt3168230","http://www.imdb.com/title/tt3168230/",2015,7.1,20793
"The Age of Adaline","tt1655441","http://www.imdb.com/title/tt1655441/",2015,7.2,66007
"A Little Chaos","tt2639254","http://www.imdb.com/title/tt2639254/",2014,6.4,7175
"Maggie","tt1881002","http://www.imdb.com/title/tt1881002/",2015,5.6,23023
"Pitch Perfect 2","tt2848292","http://www.imdb.com/title/tt2848292/",2015,6.6,73932
"Good Kill","tt3297330","http://www.imdb.com/title/tt3297330/",2014,6.3,11182
"Mojave","tt2322517","http://www.imdb.com/title/tt2322517/",2015,6.5,196
"Child 44","tt1014763","http://www.imdb.com/title/tt1014763/",2015,6.4,28399
"Paul Blart: Mall Cop 2","tt3450650","http://www.imdb.com/title/tt3450650/",2015,4.4,18109
"Avengers: Age of Ultron","tt2395427","http://www.imdb.com/title/tt2395427/",2015,7.6,341845
"Careful What You Wish For","tt1629242","http://www.imdb.com/title/tt1629242/",2015,5.5,2519
"Nightlight","tt2236160","http://www.imdb.com/title/tt2236160/",2015,4.6,837
"The Gunman","tt2515034","http://www.imdb.com/title/tt2515034/",2015,5.8,21481
"Tracers","tt2401097","http://www.imdb.com/title/tt2401097/",2015,5.6,10816
"Trainwreck","tt3152624","http://www.imdb.com/title/tt3152624/",2015,6.5,47187
"Furious 7","tt2820852","http://www.imdb.com/title/tt2820852/",2015,7.3,236101
"Insurgent","tt2908446","http://www.imdb.com/title/tt2908446/",2015,6.3,113642
"Get Hard","tt2561572","http://www.imdb.com/title/tt2561572/",2015,6.1,60921
"Lost River","tt2366608","http://www.imdb.com/title/tt2366608/",2014,5.8,8542
"Cinderella","tt1661199","http://www.imdb.com/title/tt1661199/",2015,7.1,79545
"Run All Night","tt2199571","http://www.imdb.com/title/tt2199571/",2015,6.6,59836
"Home","tt2224026","http://www.imdb.com/title/tt2224026/",2015,6.7,51218
"Unfinished Business","tt2358925","http://www.imdb.com/title/tt2358925/",2015,5.4,17479
"Chappie","tt1823672","http://www.imdb.com/title/tt1823672/",2015,6.9,142293
"The Second Best Exotic Marigold Hotel","tt2555736","http://www.imdb.com/title/tt2555736/",2015,6.6,16178
"Focus","tt2381941","http://www.imdb.com/title/tt2381941/",2015,6.6,117687
"Serena","tt1247690","http://www.imdb.com/title/tt1247690/",2014,5.4,13716
"Demonic","tt1841642","http://www.imdb.com/title/tt1841642/",2015,5.3,5228
"Accidental Love","tt1137470","http://www.imdb.com/title/tt1137470/",2015,4.1,3557
"Fifty Shades of Grey","tt2322441","http://www.imdb.com/title/tt2322441/",2015,4.2,190131
"Home Sweet Hell","tt2802136","http://www.imdb.com/title/tt2802136/",2015,5.4,7699
"Wild Card","tt2231253","http://www.imdb.com/title/tt2231253/",2015,5.6,30231
"Jupiter Ascending","tt1617661","http://www.imdb.com/title/tt1617661/",2015,5.4,116864
"Brooklyn","tt2381111","http://www.imdb.com/title/tt2381111/",2015,7.9,2096
"Brooklyn","tt2381111","http://www.imdb.com/title/tt2381111/",2015,7.9,2096
"The Stanford Prison Experiment","tt0420293","http://www.imdb.com/title/tt0420293/",2015,7,2801
"Aloft","tt2494384","http://www.imdb.com/title/tt2494384/",2014,5.3,1431
"Mississippi Grind","tt2349144","http://www.imdb.com/title/tt2349144/",2015,6.5,2794
"Entertainment","tt3343784","http://www.imdb.com/title/tt3343784/",2015,5.7,582
"True Story","tt2273657","http://www.imdb.com/title/tt2273657/",2015,6.3,24130
"Black Sea","tt2261331","http://www.imdb.com/title/tt2261331/",2014,6.4,19660
"The D Train","tt3534602","http://www.imdb.com/title/tt3534602/",2015,5.1,5119
"10,000 Saints","tt3397754","http://www.imdb.com/title/tt3397754/",2015,6,2077
"Veronika Decides to Die","tt1068678","http://www.imdb.com/title/tt1068678/",2009,6.5,9561
"The Woman in Black 2: Angel of Death","tt2339741","http://www.imdb.com/title/tt2339741/",2014,4.9,16593
"A Kind of Murder","tt2726552","http://www.imdb.com/title/tt2726552/",2015,0,NA
"The Last Face","tt3286560","http://www.imdb.com/title/tt3286560/",2015,0,NA
"Solace","tt1291570","http://www.imdb.com/title/tt1291570/",2015,6.5,1811
"Solace","tt1291570","http://www.imdb.com/title/tt1291570/",2015,6.5,1811
"Year Zero","tt2801158","http://www.imdb.com/title/tt2801158/",2015,0,NA
"Kingsman: The Secret Service","tt2802144","http://www.imdb.com/title/tt2802144/",2014,7.8,311386
"The Captive","tt2326612","http://www.imdb.com/title/tt2326612/",2014,5.9,15029
"The Interview","tt2788710","http://www.imdb.com/title/tt2788710/",2014,6.7,227059
"Son of a Gun","tt2452200","http://www.imdb.com/title/tt2452200/",2014,6.5,15322
"Into the Woods","tt2180411","http://www.imdb.com/title/tt2180411/",2014,6,88529
"The Hobbit: The Battle of the Five Armies","tt2310332","http://www.imdb.com/title/tt2310332/",2014,7.5,308623
"Big Eyes","tt1126590","http://www.imdb.com/title/tt1126590/",2014,7,44436
"American Sniper","tt2179136","http://www.imdb.com/title/tt2179136/",2014,7.3,276443
"Hidden in the Woods","tt2320388","http://www.imdb.com/title/tt2320388/",2014,6,60
"Jessabelle","tt2300975","http://www.imdb.com/title/tt2300975/",2014,5.4,14057
"A Most Violent Year","tt2937898","http://www.imdb.com/title/tt2937898/",2014,7.1,36920
"Suite Française","tt0900387","http://www.imdb.com/title/tt0900387/",2014,6.8,6850
"Before I Go to Sleep","tt1726592","http://www.imdb.com/title/tt1726592/",2014,6.3,41281
"Interstellar","tt0816692","http://www.imdb.com/title/tt0816692/",2014,8.7,772161
"College Fright Night","tt1992111","http://www.imdb.com/title/tt1992111/",2014,4,10
"Stonehearst Asylum","tt1772264","http://www.imdb.com/title/tt1772264/",2014,6.8,28442
"Miss Julie","tt2667960","http://www.imdb.com/title/tt2667960/",2014,5.6,2178
"Inherent Vice","tt1791528","http://www.imdb.com/title/tt1791528/",2014,6.7,50046
"Left Behind","tt2467046","http://www.imdb.com/title/tt2467046/",2014,3.1,21859
"The Equalizer","tt0455944","http://www.imdb.com/title/tt0455944/",2014,7.2,203991
"The Maze Runner","tt1790864","http://www.imdb.com/title/tt1790864/",2014,6.8,267752
"Birdman: Or (The Unexpected Virtue of Ignorance)","tt2562232","http://www.imdb.com/title/tt2562232/",2014,7.8,329696
"Rosewater","tt2752688","http://www.imdb.com/title/tt2752688/",2014,6.6,7156
"Sin City: A Dame to Kill For","tt0458481","http://www.imdb.com/title/tt0458481/",2014,6.6,96855
"The Expendables 3","tt2333784","http://www.imdb.com/title/tt2333784/",2014,6.1,113646
"Teenage Mutant Ninja Turtles","tt1291150","http://www.imdb.com/title/tt1291150/",2014,5.9,149390
"Hercules","tt1267297","http://www.imdb.com/title/tt1267297/",2014,6.1,105309
"Guardians of the Galaxy","tt2015381","http://www.imdb.com/title/tt2015381/",2014,8.1,574455
"The Day of the Siege: September Eleven 1683","tt1899285","http://www.imdb.com/title/tt1899285/",2012,3.9,967
"Delirium","tt1698647","http://www.imdb.com/title/tt1698647/",2014,7,1238
"Delirium","tt1698647","http://www.imdb.com/title/tt1698647/",2014,7,1238
"Blue Ridge","tt1303235","http://www.imdb.com/title/tt1303235/",2014,7.2,95
"Snowpiercer","tt1706620","http://www.imdb.com/title/tt1706620/",2013,7,158686
"Maleficent","tt1587310","http://www.imdb.com/title/tt1587310/",2014,7,230451
"Return to the Hiding Place","tt1691153","http://www.imdb.com/title/tt1691153/",2013,4.6,564
"Parts Per Billion","tt2495104","http://www.imdb.com/title/tt2495104/",2014,4.2,1363
"Rage","tt2401807","http://www.imdb.com/title/tt2401807/",2014,5,16428
"Devil's Knot","tt0804463","http://www.imdb.com/title/tt0804463/",2013,6,12211
"Godzilla","tt0831387","http://www.imdb.com/title/tt0831387/",2014,6.5,282472
"Legends of Oz: Dorothy's Return","tt0884726","http://www.imdb.com/title/tt0884726/",2013,5.7,4943
"Swelter","tt2112277","http://www.imdb.com/title/tt2112277/",2014,4.6,1747
"Gambit","tt0404978","http://www.imdb.com/title/tt0404978/",2012,5.7,17212
"Brick Mansions","tt1430612","http://www.imdb.com/title/tt1430612/",2014,5.7,29134
"The Amazing Spider-Man 2","tt1872181","http://www.imdb.com/title/tt1872181/",2014,6.8,292025
"Electric Slide","tt0835775","http://www.imdb.com/title/tt0835775/",2014,4.7,370
"A Haunted House 2","tt2828996","http://www.imdb.com/title/tt2828996/",2014,4.7,12753
"Evidence","tt1640218","http://www.imdb.com/title/tt1640218/",2012,5.1,3331
"The Last of Robin Hood","tt2450440","http://www.imdb.com/title/tt2450440/",2013,5.7,1083
"Words and Pictures","tt2380331","http://www.imdb.com/title/tt2380331/",2013,6.6,6023
"Oculus","tt2388715","http://www.imdb.com/title/tt2388715/",2013,6.5,74985
"Noah","tt1959490","http://www.imdb.com/title/tt1959490/",2014,5.8,186930
"Sand Castles","tt2233170","http://www.imdb.com/title/tt2233170/",2014,8.1,99
"Rio 2","tt2357291","http://www.imdb.com/title/tt2357291/",2014,6.4,52536
"Sabotage","tt1742334","http://www.imdb.com/title/tt1742334/",2014,5.7,43581
"Divergent","tt1840309","http://www.imdb.com/title/tt1840309/",2014,6.8,305407
"The Single Moms Club","tt2465140","http://www.imdb.com/title/tt2465140/",2014,5.1,4238
"Predestination","tt2397535","http://www.imdb.com/title/tt2397535/",2014,7.4,139013
"Veronica Mars","tt2771372","http://www.imdb.com/title/tt2771372/",2014,6.8,39144
"The Grand Budapest Hotel","tt2278388","http://www.imdb.com/title/tt2278388/",2014,8.1,404642
"300: Rise of an Empire","tt1253863","http://www.imdb.com/title/tt1253863/",2014,6.3,206686
"Winter's Tale","tt1837709","http://www.imdb.com/title/tt1837709/",2014,6.2,37484
"About Last Night","tt1826590","http://www.imdb.com/title/tt1826590/",2014,6.1,15347
"RoboCop","tt1234721","http://www.imdb.com/title/tt1234721/",2014,6.2,171037
"A Fantastic Fear of Everything","tt2006040","http://www.imdb.com/title/tt2006040/",2012,5.9,10157
"The Lego Movie","tt1490017","http://www.imdb.com/title/tt1490017/",2014,7.8,226588
"I, Frankenstein","tt1418377","http://www.imdb.com/title/tt1418377/",2014,5.1,60623
"Rudderless","tt1798243","http://www.imdb.com/title/tt1798243/",2014,7.5,9766
"They Came Together","tt2398249","http://www.imdb.com/title/tt2398249/",2014,5.5,15383
"A Most Wanted Man","tt1972571","http://www.imdb.com/title/tt1972571/",2014,6.8,51592
"God Help the Girl","tt2141751","http://www.imdb.com/title/tt2141751/",2014,6.4,5553
"Young Ones","tt2693664","http://www.imdb.com/title/tt2693664/",2014,5.9,5949
"Summer in February","tt2184287","http://www.imdb.com/title/tt2184287/",2013,5.6,2565
"Locke","tt2692904","http://www.imdb.com/title/tt2692904/",2013,7.1,77357
"Ride Along","tt1408253","http://www.imdb.com/title/tt1408253/",2014,6.1,60879
"The Legend of Hercules","tt1043726","http://www.imdb.com/title/tt1043726/",2014,4.2,42378
"Anchorman 2: The Legend Continues","tt1229340","http://www.imdb.com/title/tt1229340/",2013,6.4,119532
"The Wolf of Wall Street","tt0993846","http://www.imdb.com/title/tt0993846/",2013,8.2,671623
"The Last Days on Mars","tt1709143","http://www.imdb.com/title/tt1709143/",2013,5.5,26510
"The Hobbit: The Desolation of Smaug","tt1170358","http://www.imdb.com/title/tt1170358/",2013,7.9,442702
"Closer to the Moon","tt2017486","http://www.imdb.com/title/tt2017486/",2014,7.2,2208
"Tad, the Lost Explorer","tt1764625","http://www.imdb.com/title/tt1764625/",2012,5.9,5028
"The Hunger Games: Catching Fire","tt1951264","http://www.imdb.com/title/tt1951264/",2013,7.6,455636
"The Challenger Disaster","tt2421662","http://www.imdb.com/title/tt2421662/",2013,7.3,2924
